Year,Rain Absolute Appearance %,Rain Relative Appearance %,Sun Absolute Appearance %,Sun Relative Appearance %,Wind Absolute Appearance %,Wind Relative Appearance %
1940,2.7314849826431953e-09,1.0,2.7932870148850153e-09,1.0,1.0846603580583203e-09,1.0
1941,2.756744560405977e-09,1.009247562378446,3.16760766227997e-09,1.1340072271128083,1.0898965424610553e-09,1.0048274875760266
1942,2.743878672883948e-09,1.0045373451875104,3.083440197615417e-09,1.1038751768737756,1.1570717671031498e-09,1.0667595238517384
1943,2.7746562488083016e-09,1.015805053456062,3.075600855344846e-09,1.1010686832235361,1.4406260272016777e-09,1.328181689778523
1944,2.7883289585980566e-09,1.0208106492680968,2.8357324881124667e-09,1.0151955287807037,1.4805959097641264e-09,1.3650318265660422
1945,2.894478847080352e-09,1.0596722535444554,3.5268061427633816e-09,1.2626007008837798,1.6214390544507953e-09,1.4948818239779473
1946,3.0346078784747122e-09,1.1109736636875784,3.748139326686939e-09,1.341838238145116,1.684133348651378e-09,1.5526826772448756
1947,2.948508017107189e-09,1.0794523989123255,3.9107713853007e-09,1.400060704274489,1.517897880799955e-09,1.3994222887588377
1948,2.937087818986685e-09,1.0752714503832024,4.00820983150117e-09,1.434943781337904,1.7005015391845036e-09,1.5677732910130662
1949,3.151447612790927e-09,1.1537488336257824,3.9852298861735895e-09,1.4267169341843091,1.6165750999735146e-09,1.4903975128835623
1950,3.027388423282318e-09,1.1083306122930918,4.326237863981421e-09,1.548798186841358,1.3953983107883872e-09,1.286484105758532
1951,2.8385517844961174e-09,1.039197287385163,4.385014200953512e-09,1.5698401838358955,2.0243799731772025e-09,1.8663722317658031
1952,2.9421134952903725e-09,1.0771113566377204,3.744193594057421e-09,1.3404256612747507,2.0418081630208765e-09,1.8824401093407455
1953,2.566880334279162e-09,0.9397380364856521,3.6368072422624363e-09,1.3019812224388063,2.067323653534966e-09,1.9059640542554148
1954,2.6205336938121627e-09,0.9593805971711155,3.4657901013376453e-09,1.2407568870899983,1.981081532947166e-09,1.8264533392679283
1955,2.6043867667627627e-09,0.9534691873877913,3.268494304574178e-09,1.1701247623881301,1.8472532917994983e-09,1.7030707152479658
1956,2.2681038624619963e-09,0.8303556039569379,3.284040505805282e-09,1.1756903205095337,1.8999224029354292e-09,1.7516288751776008
1957,2.404252881108412e-09,0.8801999265549216,3.16872740348449e-09,1.134408095766317,1.9516898157125235e-09,1.79935571648096
1958,2.3244433828125845e-09,0.8509815714100226,3.1462852938059426e-09,1.1263737944005938,1.2416406751964662e-09,1.1447276246171296
1959,2.68275282048837e-09,0.98215909570637,3.111816014192811e-09,1.1140337522103534,1.387877465730547e-09,1.2795502808040518
1960,2.930276142763612e-09,1.07277768736918,2.881992078516772e-09,1.0317565159466466,2.1060774929582138e-09,1.9416930630048652
1961,2.972163652097721e-09,1.088112755875973,2.936667358693119e-09,1.0513303298386636,2.6374515270179343e-09,2.431592071585715
1962,3.0274617178273543e-09,1.1083574455158633,3.091821070000389e-09,1.1068755389347853,3.2171560286818414e-09,2.96604923816056
1963,3.563261182147416e-09,1.3045142861079655,3.3419249718748466e-09,1.1964130266836956,4.3670055617308e-09,4.0261502407521315
1964,3.6382789519213384e-09,1.331978383567996,3.378769735226264e-09,1.2096034948149967,4.9616792698246675e-09,4.57440823107678
1965,4.852692886414545e-09,1.7765768134367355,3.752782169344889e-09,1.3435003812164181,5.699510078179973e-09,5.254649564572286
1966,4.4002032702019e-09,1.610919810345772,4.2344890094359044e-09,1.515951990207571,6.020602135884242e-09,5.550679612428985
1967,4.348363263708053e-09,1.5919411204304854,4.772384812731392e-09,1.7085193133752659,5.584237576318683e-09,5.14837435961537
1968,4.641884613790623e-09,1.6993996464512053,4.8211080108265645e-09,1.7259622749597838,5.4724048388037664e-09,5.045270437097992
1969,4.487132363094139e-09,1.6427446577985738,4.698076478444018e-09,1.6819168432777083,5.361259033942467e-09,4.942799830483158
1970,3.9634622895198415e-09,1.451028402024927,4.8370516213456865e-09,1.7316701060684958,4.8494032817147925e-09,4.470895654742873
1971,3.9756182443340116e-09,1.4554787119813843,4.688521939736187e-09,1.6784963073081083,4.2910123777630186e-09,3.956088508152428
1972,3.088667457708448e-09,1.1307649419033654,4.621629884349332e-09,1.654548873682277,3.972344783466562e-09,3.662293688484719
1973,2.950327898654237e-09,1.080118659777244,4.346604571309991e-09,1.556089491752038,3.932691042857999e-09,3.625735018008785
