Year,Perception
1940,1.0
1941,1.009247562378446
1942,1.0045373451875104
1943,1.015805053456062
1944,1.0208106492680968
1945,1.0596722535444554
1946,1.1109736636875784
1947,1.0794523989123255
1948,1.0752714503832024
1949,1.1537488336257824
1950,1.1083306122930918
1951,1.039197287385163
1952,1.0771113566377204
1953,0.9397380364856521
1954,0.9593805971711155
1955,0.9534691873877913
1956,0.8303556039569379
1957,0.8801999265549216
1958,0.8509815714100226
1959,0.98215909570637
1960,1.07277768736918
1961,1.088112755875973
1962,1.1083574455158633
1963,1.3045142861079655
1964,1.331978383567996
1965,1.7765768134367355
1966,1.610919810345772
1967,1.5919411204304854
1968,1.6993996464512053
1969,1.6427446577985738
1970,1.451028402024927
1971,1.4554787119813843
1972,1.1307649419033654
1973,1.080118659777244
1974,1.1667536849621363
1975,1.033095939828409
1976,1.0681998524670655
1977,1.1220738581052736
1978,1.1002914653036646
1979,1.0602875634032327
1980,1.2020228394826047
1981,1.1685850257427504
1982,1.2264409154295988
1983,1.2680116427401174
1984,1.3263897877248352
1985,1.4044840348972936
1986,1.4546347301892812
1987,1.4383215105103797
1988,1.4994087215531147
1989,1.5200863817909092
1990,1.5210875418890413
1991,1.515330345112
1992,1.4719351448234685
1993,1.4474639351760086
1994,1.3999053379134816
1995,1.3678595373430391
1996,1.3889559312197712
1997,1.4778340940695942
1998,1.5449087197995564
1999,1.6043004093909305
2000,1.9146842555797563
2001,2.070673347579295
2002,2.1771766943375814
2003,2.3097511624170974
2004,2.3613540164549947
2005,2.469711987276375
2006,2.673325450051356
2007,2.6776587682089543
2008,2.970259912685317
2009,3.2000829678602907
2010,3.467902598097
2011,3.7651090343511204
2012,4.089950309052097
2013,4.158828436910585
2014,4.17831770401051
2015,4.070413525482415
2016,3.932411432045391
2017,3.8502266160199907
2018,3.7546195426359996
2019,3.4565247464621174
